File: checklist.md | Line 15: - [x] FeedScreen (메인 추천 피드)
File: checklist.md | Line 16: - [x] DetailScreen (권리분석 상세)
File: checklist.md | Line 37: - [x] 모바일 앱 컴포넌트 및 화면(Feed, Detail, Auth, Favorites) 가독성 스케일업
File: checklist.md | Line 69: - [x] 모바일 상세 화면(DetailScreen) 필수 기능 연동
File: checklist.md | Line 70: - [x] DetailScreen.tsx에 입찰 당일 필수 체크리스트 동적 렌더링 블록 추가.
File: checklist.md | Line 71: - [x] DetailScreen.tsx에 6대 정부 실무 공용 정보망 연동 및 서류 조회 버튼 탑재.
File: checklist.md | Line 72: - [x] DetailScreen.tsx 가상 키패드 숫자 폰트 크기 상향.
File: checklist.md | Line 104: - [x] index.html에 동적 가치/규제 계산 규칙 (analyzePropertyDetailExtra) 구현
File: checklist.md | Line 106: - [x] index.html loadDetailView 함수 내부 데이터 바인딩 추가
File: checklist.md | Line 107: - [x] DetailScreen.tsx에 동적 계산 규칙 및 마크업 이식
File: checklist.md | Line 108: - [x] DetailScreen.tsx 스타일시트에 신규 스타일셋 추가
File: checklist.md | Line 111: - [x] index.html의 analyzePropertyDetailExtra 및 뱃지 바인딩 로직 수정.
File: checklist.md | Line 112: - [x] DetailScreen.tsx의 analyzePropertyDetailExtra 대항력 분기 로직 수정.
File: checklist.md | Line 120: - [x] PropertyCard.tsx 및 DetailScreen.tsx에 투자/실거주 추천 뱃지 UI 이식
File: checklist.md | Line 130: - [x] 모바일 상세 화면(DetailScreen.tsx) 주변시세 확인 버튼 및 클립보드 복사 로직 추가
File: checklist.md | Line 137: - [x] DetailScreen.tsx 상세 모바일 화면 탭 바를 가로 스크롤뷰 기반 12단으로 개량합니다.
File: checklist.md | Line 138: - [x] 검색 필터 내 법원 다중 선택 기능 구현 (웹 & 모바일)
File: checklist.md | Line 142: - [x] 상세페이지 조회 후 복귀 시 검색 조건 유지 (웹 & 모바일)
File: checklist.md | Line 147: - [x] index.html 상단 제목을 "부동산경공매 검색시스템"으로 변경하고 클릭 시 filter 초기화와 홈 이동을 연동합니다.
File: checklist.md | Line 148: - [x] mobile-app 글로벌 헤더의 로고 타이틀을 부동산경공매 검색시스템으로 변경합니다.
File: checklist.md | Line 150: - [x] scrapers/run_daily_scrapers.py를 신설하여 두 스크래퍼를 통합 가동하고 로그를 캡처합니다.
File: checklist.md | Line 151: - [x] 파이썬 smtplib 모듈을 활용해 크롤링 성공/실패 여부와 로그 통계를 hl1oex@gmail.com 메일로 발송하는 로직을 구축합니다.
File: checklist.md | Line 171: - [x] PC 웹: loadDetailView 내 소유자, 채무자, 평수 분할 연산, 기일 이력 테이블 동적 렌더링 추가
File: checklist.md | Line 173: - [x] PC 웹: 수치와 완벽히 싱크된 정밀한 줄글 AI 투자 코멘트 동적 주입
File: checklist.md | Line 174: - [x] 모바일 앱: DetailScreen.tsx에 4대 번호식 대분류 탭 개편, 데이터 보강 및 AI 코멘트 탑재
File: checklist.md | Line 178: - [x] 모바일 앱: DetailScreen.tsx에 등급별 블러 마스킹 오버레이 구현
File: checklist.md | Line 179: - [x] [신규] 주변 유사 물건 추천 및 타이틀 싱크 (웹 & 모바일)
File: checklist.md | Line 182: - [x] 모바일 앱: DetailScreen.tsx 하단에 유사 매물 3개 노출 및 전환 연동
File: checklist.md | Line 195: - [x] 모바일 앱: DetailScreen.tsx 기본 명세 정보 평수 병기
File: checklist.md | Line 197: - [x] PC 웹: detail-map-container에 네이버 지도 링크 연동 프리뷰 렌더링 및 지번도/위성도 쿼리 파라미터 분기
File: checklist.md | Line 198: - [x] 모바일 앱: DetailScreen.tsx 지도시각화 및 링크 네이버 지도로 전면 교체
File: checklist.md | Line 201: - [x] 모바일 앱: DetailScreen.tsx 실제 평면도 정보 보강
File: checklist.md | Line 202: - [x] [사용자 요청] 주변 유사 추천 매물과의 거리 표기 추가 (웹 & 모바일)
File: checklist.md | Line 204: - [x] 모바일 앱: DetailScreen.tsx 유사 매물 거리 표기
File: checklist.md | Line 207: - [x] 모바일 앱: DetailScreen.tsx 내 해당 파트 타이포그래피 정돈
File: checklist.md | Line 219: - [ ] 모바일 앱: `DetailScreen.tsx` 의 기본 정보 및 입지분석 탭 내부에 금융 시뮬레이션 및 학군, 실거래가 추이 테이블 뷰 구현
File: checklist.md | Line 222: - [x] PC 웹: `index.html`에서 다차원 체인 정렬 방식(activeSortChain) 완전 제거 및 단일 정렬 방식으로 개편
File: checklist.md | Line 223: - [x] PC 웹: 각 정렬 기준별 합리적인 기본 방향 설정 (score/price/discount/failed = desc, date = asc) 및 토글 구현
File: checklist.md | Line 234: - [ ] 모바일 앱: `DetailScreen.tsx` 상세 탭 등급별 opacity 및 오버레이 락 해제
File: checklist.md | Line 238: - [x] index.html 로드뷰 변수(roadviewContainer, roadviewFallback) 이중 const 선언부 정밀 제거
File: checklist.md | Line 242: - [x] 웹 대시보드(index.html) 및 모바일 앱(DetailScreen.tsx)의 소유자/채무자 가상 데이터(홍길동, 김채무 등) 제거 및 '--' 마스킹 통일.
File: checklist.md | Line 255: - [x] PC 웹 및 모바일 앱: 실제 평면도 이미지가 없을 때, 임의의 추정 평면도(59, 84, 114)와 안내 카드를 노출하지 않고 완전히 비워둔 빈 박스로 렌더링하도록 수정 (index.html 내 detail-floorplan-img-container ID 누락 버그 픽스 완료).
File: checklist.md | Line 258: - [x] PC 웹 및 모바일 앱: 상세페이지 각 카드의 노란색 보더 및 경고 뱃지들을 전체 제거하고, 실제 AI로 연산된 개별 면적 데이터 수치 뒤에만 "추정(허수)" 꼬리표를 명시 결합.
File: checklist.md | Line 272: - [x] activeSortChain 다차원 정렬을 완전 소거하고 currentSortKey, currentSortDir 단일 토글 정렬 방식으로 최종 이식 완료
File: checklist.md | Line 274: - [x] detail-panel-bid의 닫히지 않은 </div> 태그를 삽입하여 4번 패널의 중첩 종속 결함을 완전 복구 완료
File: checklist.md | Line 276: - [x] PC 웹 및 모바일 앱 내 구형 land.naver.com 및 new.land.naver.com 도메인을 fin.land.naver.com/map 신규 검색 쿼리로 일괄 교체 완료
File: checklist.md | Line 278: - [x] 물건 용도(ptype)에 따라 아파트/오피스텔 등 단지형 물건은 신형 지도 단지명/좌표 검색 방식을 적용하고, 다세대/창고/토지 등 비단지형 물건은 구형 지번/도로명 주소 검색 방식을 적용하도록 분기 조건 추가 완료
File: checklist.md | Line 280: - [x] PC 웹 및 모바일 앱 실제 평면도 부재 시 면적(exclusive_area)에 기반하여 AI 추정 평면도(59㎡, 84㎡, 114㎡ 등)를 정밀하게 매핑하여 노출하고, 노란색 꼬리표 배지로 '⚠️ 추정(허수)' 임을 명시적으로 고지하도록 고도화 완료
File: checklist.md | Line 282: - [x] 웹 대시보드(index.html) 및 모바일 앱(DetailScreen.tsx) ⚠️ 허수/추정 뱃지 둥근 캡슐형 UI 이식 및 동기화.
File: checklist.md | Line 291: - [x] 모바일 앱 - DetailScreen.tsx 디자인 개편.
File: checklist.md | Line 297: - [x] PC 웹: index.html 상세 Drawer (detail-drawer) 최대 가로 너비를 대화면 해상도(xl, 2xl)에서 가변적으로 넓히도록 수정 완료
File: checklist.md | Line 299: - [x] 모바일 앱: DetailScreen.tsx 가로가 넓은 화면에 대응하는 반응형 가변 너비 및 패딩 마진 안전성 검증 완료
File: checklist.md | Line 302: - [x] [사용자 요청] 검색필터 예산 한도 최소값/최대값 동시 조정 기능 구현
File: checklist.md | Line 310: - [x] PC 웹: 피드 상단 추천 검색어 제안 칩 바 복구 및 검색창 연동
File: checklist.md | Line 311: - [x] 모바일 앱: FeedScreen.tsx 내 추천 검색어 제안 가로 스크롤 칩 바 구현
File: checklist.md | Line 312: - [x] 모바일 앱: DetailScreen.tsx 내 카카오 로드뷰 내장 WebView 삭제 및 3대 포털 로드뷰 아웃링크 전면 적용
File: context-notes.md | Line 30: - 수집되는 경매 자산 데이터의 수가 너무 적은 원인을 분석한 결과, `court_scraper.py` 내부의 법원 수(10개), 기일 세션 수(15개), 검색 달(2개월)이 하드코딩으로 강하게 제한되어 있었음을 식별하였습니다.
File: context-notes.md | Line 35: - 탭 버튼 클릭 시 기존에 설정되어 있던 Tailwind 반응형 글자 크기 및 정렬 클래스가 `className` 재할당으로 인해 완전히 덮어써지면서 UI 찌그러짐 현상이 발생한 것을 식별하였습니다. 이를 보완하기 위해 `classList` API를 활용하여 활성/비활성 관련 테두리 및 텍스트 색상 클래스만 부분 변경하도록 결정하였습니다.
File: context-notes.md | Line 51: ### 모바일 상세 화면 (DetailScreen.tsx) 필수 기능 연동 결정 (2026-06-08)
File: context-notes.md | Line 53: - '정부 실무 공용 정보망 연동 및 서류 조회' 버튼 그리드를 모바일 상세 뷰 최하단에 구현하며, 네이버 지도 및 네이버 부동산 검색 연동 시 해당 매물의 실제 주소를 인코딩하여 즉시 실거래가 및 위치를 조회할 수 있게 연동성을 극대화하기로 결정하였습니다.
File: context-notes.md | Line 58: - '사용자 가이드' 탭 내부에 Supabase OAuth 설정 방법 및 이메일 가입 시 메일 인증을 건너뛰는 팁(Confirm email 설정 끄기)을 포함한 상세 서버 콘솔 가이드를 추가하여, 사용자 `hl1oex@gmail.com` 등의 가입 테스트를 용이하게 하도록 유도하기로 결정하였습니다.
File: context-notes.md | Line 81: ### 프리미엄 파비콘 시안 B (진한 투명 AI 테크) 최종 채택 및 이식 결정 (2026-06-09)
File: context-notes.md | Line 82: - 사용자의 피드백에 따라 '미래형 AI 테크' 시안 B를 최종 파비콘으로 채택하였습니다.
File: context-notes.md | Line 83: - 브라우저 탭 및 다양한 OS 다크/라이트 모드에서 심볼 아이콘이 명확하게 렌더링되도록 배경을 완전한 투명(transparent)으로 보정하고, 색상 대비와 선의 두께를 한층 짙고 선명하게 다듬은 '진한 투명 AI 테크' 버전을 생성하여 루트 및 배포 폴더에 정식 이식하였습니다.
File: context-notes.md | Line 87: - 대신, 로그인한 유저에 한해 메인 추천 매물 피드 상단의 '정렬 옵션' 바 우측에 실시간으로 관심 목록 개수를 연동해 보여주는 프리미엄 골드/앰버 톤의 '내 관심 매물' 필터 버튼을 추가하여 필요 시 간편하게 모아볼 수 있는 주도적 UX를 설계하였습니다.
File: context-notes.md | Line 94: - 사용자의 요구사항을 수렴하여 PC 웹 대시보드(index.html)와 모바일 Expo 앱(DetailScreen.tsx) 상세 분석 뷰에 실무 중심의 고부가 가치 분석 카드 2종을 새로 이식하였습니다.
File: context-notes.md | Line 96: - **물건 상태 진단 및 평면 구조 도면 갤러리**: AI 적합 점수를 연동한 건물 외관 상태 진단 프로그레스 바 제공, 매물 타입별(아파트/오피스텔/상가 등) 가상 평면 구조(3-Bay 등) 추정 배지 및 건축물대장 현황도면 무료 발급(정부24)을 위한 온라인 아웃링크를 이식하였습니다.
File: context-notes.md | Line 104: - 웹 대시보드(index.html)와 모바일 앱(DetailScreen.tsx)에 해당 규칙을 동시 적용하고, 대항력 미상 시 경고 뱃지 색상을 호박색(amber)으로 구분 노출되도록 뱃지 바인딩 스타일을 수정하여 프리미엄 권리진단 직관성을 향상시켰습니다.
File: context-notes.md | Line 111: - 단, 주거용 부동산 중 AI 권리진단 점수가 85점 이상인 A급 우량 매물은 '투자 & 실거주 겸용'으로 판별하여 양쪽 성향에 모두 매칭되며 뱃지도 동시에 노출되도록 처리합니다.
File: context-notes.md | Line 112: - 이에 따라 웹 대시보드와 모바일 앱에 투자 성향 필터(전체, 투자형, 실거주형)를 탑재하고 매물 카드 및 상세 뷰에 전용 뱃지(🏆 투자 추천, 🏠 실거주 추천)를 이식하기로 하였습니다.
File: context-notes.md | Line 116: - 씨:리얼 종합검색 페이지의 구형 아웃링크 주소(`asstInfoList.do`)가 사이트 개편으로 404 오류를 뱉는 장애를 식별하여, 신규 메인 주소(`https://seereal.lh.or.kr/`)로 리다이렉트되도록 긴급 수정 조치하였습니다.
File: context-notes.md | Line 117: - 모바일 `DetailScreen.tsx`에 이 기능을 완벽 이식하였으며, 네이티브 앱 환경에서 발생할 수 있는 클립보드 복사 에러를 방어하고자 `expo-clipboard` 동적 로드(Lazy Load) 구문을 탑재하여 TypeScript 및 런타임 신뢰성을 모두 달성했습니다.
File: context-notes.md | Line 120: ### 상세페이지 12단 재구성 및 검색 기능 고도화 결정 (2026-06-10)
File: context-notes.md | Line 123: - 검색 필터 내에 "⚖️ 관할 법원 필터" 섹션을 추가하여 다중 선택 체크박스 방식으로 전국 법원 데이터를 일괄 필터링할 수 있는 다차원 조건식 검색 엔진을 구축하기로 결정하였습니다.
